player_id,player_name,team,transfer_value
763,Joshua Acheampong,Chelsea,€1.4M
764,Tyler Adams,Bournemouth,€24.5M
765,Tosin Adarabioyo,Chelsea,€24.8M
766,Simon Adingra,Brighton,€34M
767,Emmanuel Agbadou,Wolves,€18M
768,Ola Aina,Nott'ham Forest,€19.3M
769,Rayan Aït-Nouri,Wolves,€44M
770,Kristoffer Ajer,Brentford,€21.5M
771,Manuel Akanji,Manchester City,€43.7M
772,Nathan Aké,Manchester City,€36.4M
773,Carlos Alcaraz,Everton,€19.6M
774,Trent Alexander-Arnold,Liverpool,€68.3M
775,Alisson,Liverpool,€24.5M
776,Miguel Almirón,Newcastle Utd,€22.9M
777,Edson Álvarez,West Ham,€36.7M
778,Harry Amass,Manchester Utd,€7.7M
779,Joachim Andersen,Fulham,€29.7M
780,Elliot Anderson,Nott'ham Forest,€61.7M
781,André,Wolves,€38.5M
782,Michail Antonio,West Ham,€1M
783,Antony,Manchester Utd,€22.7M
784,Julian Araujo,Bournemouth,€14.3M
785,Cameron Archer,Southampton,€18.6M
786,Alphonse Areola,West Ham,€8.8M
787,Joe Aribo,Southampton,€8M
788,Adam Armstrong,Southampton,€15.1M
789,Kepa Arrizabalaga,Bournemouth,€11.4M
790,Marco Asensio,Aston Villa,€19.3M
791,Taiwo Awoniyi,Nott'ham Forest,€21M
792,Yasin Ayari,Brighton,€38.2M
793,Jordan Ayew,Leicester City,€1.5M
794,Benoît Badiashile,Chelsea,€25.6M
795,Leon Bailey,Aston Villa,€15.4M
796,Carlos Baleba,Brighton,€66.9M
797,Ross Barkley,Aston Villa,€7.6M
798,Harvey Barnes,Newcastle Utd,€39.8M
799,Calvin Bassey,Fulham,€29.9M
800,Altay Bayındır,Manchester Utd,€13.2M
801,Jan Bednarek,Southampton,€13M
802,Armel Bella Kotchap,Southampton,€15.4M
803,Jean-Ricner Bellegarde,Wolves,€21.3M
804,Rodrigo Bentancur,Tottenham,€31.4M
805,Daniel Bentley,Wolves,€1.5M
806,Sander Berge,Fulham,€30.4M
807,Lucas Bergvall,Tottenham,€31.3M
808,Victor Bernth Kristiansen,Leicester City,€18.7M
809,Beto,Everton,€0.2M
810,Philip Billing,Bournemouth,€12.7M
811,Yves Bissouma,Tottenham,€30M
812,Lamare Bogarde,Aston Villa,€12.3M
813,Willy Boly,Nott'ham Forest,€0.9M
814,Sven Botman,Newcastle Utd,€52.7M
815,Jarrod Bowen,West Ham,€48.4M
816,Conor Bradley,Liverpool,€30.7M
817,Jarrad Branthwaite,Everton,€28.1M
818,James Bree,Southampton,€2M
819,Ben Brereton,Southampton,€8.3M
820,Nathan Broadhead,Ipswich Town,€6.1M
821,Armando Broja,Everton,€18.6M
822,David Brooks,Bournemouth,€13M
823,Emi Buendía,Aston Villa,€15.1M
824,Santiago Bueno,Wolves,€0.2M
825,Facundo Buonanotte,Leicester City,€27.5M
