Aerials_Lost,Aerials_Won,Aerials_Won_Pct,Age,Assists,Assists_Per90,Avg_Shot_Distance,Ball_Recoveries,Blocked_Passes,Blocked_Shots,Blocks,CS_Pct,Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Challenges,Challenges_Lost,Crosses,Crosses_Into_Penalty_Area,Dispossessed,Fouls_Committed,Fouls_Drawn,GA90,GCA,GCA90,Goals,Goals_Per90,Goals_Per_Shot,Interceptions,Key_Passes,Long_Pass_Pct,Matches_Played,Medium_Pass_Pct,Minutes,Miscontrols,Name,Nation,Offsides,PK_Save_Pct,Pass_Completion_Pct,Passes_Completed,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Passes_Received,Position,Progressive_Carries,Progressive_Carries_Distance,Progressive_Passes,Progressive_Passes_Received,Progressive_Passing_Distance,Red_Cards,SCA,SCA90,Save_Pct,Short_Pass_Pct,SoT_Pct,SoT_Per90,Starts,Tackles,Tackles_Won,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Team,Touches,Touches_Att_3rd,Touches_Att_Pen,Touches_Def_3rd,Touches_Def_Pen,Touches_Mid_3rd,Yellow_Cards,id,xAG,xAG_Per90,xG,xG_Per90
34,19,35.8,25,5,0.17,18.1,148,55,6,61,N/a,915,43,5,104,49,86,2,22,62,40,N/a,15,0.52,5,0.17,0.13,22,45,55.6,35,88.4,2599,31,Alexis Mac Allister,ar ARG,2,N/a,83.5,1273,122,35,1228,MF,36,2018,177,80,5748,0,120,4.15,N/a,90.3,34.2,0.45,30,95,58,42,38.1,50.0,Liverpool,1860,637,60,284,56,960,6,1038,4.7,0.16,2.8,0.10
0,7,100.0,31,0,0.00,N/a,47,0,0,0,32.1,658,0,0,1,1,0,0,0,0,2,1.04,1,0.04,0,0.00,N/a,0,1,47.4,28,98.4,2508,1,Alisson,br BRA,0,0.0,82.8,794,12,0,618,GK,0,1586,1,0,11360,0,7,0.25,72.0,98.7,N/a,0.00,28,1,0,1,100.0,0.0,Liverpool,1010,0,0,990,741,20,0,775,0.6,0.02,0.0,0.00
14,7,33.3,30,1,0.04,14.9,105,6,4,10,N/a,1107,52,6,51,20,147,17,13,11,8,N/a,4,0.14,0,0.00,0.00,21,40,46.4,33,86.3,2482,25,Andrew Robertson,sct SCO,3,N/a,82.7,1559,150,31,1398,DF,64,2849,176,108,8406,1,80,2.90,N/a,94.3,13.3,0.07,29,39,22,18,38.9,55.6,Liverpool,2083,620,53,538,92,940,3,1142,4.6,0.17,1.2,0.04
0,1,100.0,25,0,0.00,N/a,18,0,0,0,40.0,290,0,0,0,0,0,0,0,0,3,1.20,1,0.10,0,0.00,N/a,0,0,31.9,10,100.0,900,1,Caoimhín Kelleher,ie IRL,0,100.0,75.7,289,6,0,275,GK,0,616,0,0,3968,0,3,0.30,67.6,100.0,N/a,0.00,10,0,0,1,100.0,0.0,Liverpool,398,0,0,396,286,2,0,1003,0.0,0.00,0.0,0.00
26,17,39.5,25,4,0.19,15.1,77,20,3,23,N/a,605,34,28,25,12,74,8,24,20,31,N/a,8,0.37,10,0.47,0.18,12,38,52.8,35,66.2,1935,45,Cody Gakpo,nl NED,5,N/a,75.7,480,24,27,677,FW,59,2208,52,278,1656,0,80,3.72,N/a,86.9,38.6,1.02,23,28,16,61,50.8,34.4,Liverpool,888,557,110,91,28,258,5,925,4.4,0.20,7.1,0.33
7,11,61.1,21,2,0.24,14.2,51,7,2,9,N/a,369,22,9,22,11,7,1,5,12,14,N/a,4,0.48,0,0.00,0.00,4,7,33.3,19,88.4,754,13,Conor Bradley,nir NIR,1,N/a,83.8,456,26,3,411,DF,35,1356,33,39,1711,0,19,2.27,N/a,91.3,30.0,0.36,7,14,10,25,40.0,48.0,Liverpool,663,178,43,197,32,299,4,816,1.4,0.17,0.7,0.08
13,14,51.9,23,3,0.16,17.1,97,13,9,22,N/a,789,23,8,27,10,8,1,36,18,25,N/a,8,0.42,3,0.16,0.09,7,22,75.5,33,92.3,1712,26,Curtis Jones,eng ENG,1,N/a,93.1,1021,84,19,967,MFDF,30,1892,117,79,3158,1,52,2.74,N/a,96.5,38.2,0.68,19,39,22,22,54.5,36.4,Liverpool,1288,393,58,220,41,683,3,993,1.1,0.06,4.3,0.23
33,20,37.7,25,2,0.16,14.3,41,6,0,6,N/a,201,19,12,18,11,3,1,21,27,14,N/a,4,0.32,5,0.40,0.15,4,11,65.0,30,73.8,1133,24,Darwin Núñez,uy URU,12,N/a,70.9,163,9,3,248,FW,23,568,27,78,587,0,31,2.46,N/a,80.2,38.2,1.03,8,21,18,23,34.8,60.9,Liverpool,366,210,74,45,10,122,8,1098,1.3,0.10,5.8,0.46
32,22,40.7,27,3,0.23,12.4,41,9,0,9,N/a,263,23,21,19,12,8,1,22,23,14,N/a,9,0.68,6,0.45,0.12,8,11,56.5,26,76.0,1196,40,Diogo Jota,pt POR,1,N/a,69.7,216,29,3,333,FW,37,796,34,88,829,0,37,2.79,N/a,76.9,25.5,0.98,14,14,8,33,33.3,60.6,Liverpool,485,259,97,35,6,198,2,995,1.8,0.14,7.9,0.60
23,19,45.2,23,6,0.22,18.9,133,34,5,39,N/a,805,49,18,45,28,41,5,23,44,24,N/a,16,0.58,6,0.22,0.09,9,56,71.4,36,88.0,2491,37,Dominik Szoboszlai,hu HUN,4,N/a,84.3,1114,88,33,1073,MF,72,2372,131,127,3641,0,119,4.30,N/a,89.6,32.8,0.79,29,38,20,41,51.2,41.5,Liverpool,1584,626,104,220,32,761,6,1196,7.4,0.27,7.3,0.27
