Analysis_Type,Best_Team,Metric,Mean,Median,Std_Dev,Count,Total_Score,Score_Percentage,Attacking_Score,Defensive_Score,Possession_Score,GK_Score
Best_By_Metric,Crystal Palace,Aerials_Lost,28.5,18.5,27.683156302292247,22,,,,,,
Best_By_Metric,Brentford,Aerials_Won,28.13636363636364,11.0,33.81081181620748,22,,,,,,
Best_By_Metric,Brentford,Aerials_Won_Pct,54.66363636363636,54.5,19.66249864116595,22,,,,,,
Best_By_Metric,West Ham,Age,27.28,27.0,5.095095681142799,25,,,,,,
Best_By_Metric,Liverpool,Assists,2.9545454545454546,2.0,3.92157976825512,22,,,,,,
Best_By_Metric,Liverpool,Assists_Per90,0.1418181818181818,0.135,0.1420474891629175,22,,,,,,
Best_By_Metric,Nott'ham Forest,Avg_Shot_Distance,19.08,18.700000000000003,6.402598156834047,20,,,,,,
Best_By_Metric,Crystal Palace,Ball_Recoveries,76.13636363636364,62.0,58.94492623631256,22,,,,,,
Best_By_Metric,Crystal Palace,Blocked_Passes,15.5,12.5,13.869287755942729,22,,,,,,
Best_By_Metric,Brentford,Blocked_Shots,9.045454545454543,4.0,13.88550896825029,22,,,,,,
Best_By_Metric,Crystal Palace,Blocks,22.0,19.0,19.444671200491875,22,,,,,,
Best_By_Metric,Aston Villa,CS_Pct,60.8,60.8,55.43717164502532,2,,,,,,
Best_By_Metric,Manchester City,Carries,720.84,654.0,514.1762570688512,25,,,,,,
Best_By_Metric,Manchester City,Carries_Into_Final_Third,34.44,23.0,30.48234461673401,25,,,,,,
Best_By_Metric,Manchester City,Carries_Into_Penalty_Area,16.16,3.0,26.273687724921043,25,,,,,,
Best_By_Metric,Nott'ham Forest,Challenges,30.181818181818183,19.5,30.17036761875934,22,,,,,,
Best_By_Metric,Nott'ham Forest,Challenges_Lost,14.681818181818182,8.5,15.734058791697905,22,,,,,,
Best_By_Metric,Fulham,Crosses,38.82608695652174,16.0,52.29692514332597,23,,,,,,
Best_By_Metric,Fulham,Crosses_Into_Penalty_Area,4.695652173913044,2.0,7.789472981406588,23,,,,,,
Best_By_Metric,Newcastle Utd,Dispossessed,19.043478260869566,8.0,21.259176116913856,23,,,,,,
Best_By_Metric,Bournemouth,Fouls_Committed,21.875,18.0,19.552187690339437,24,,,,,,
Best_By_Metric,Newcastle Utd,Fouls_Drawn,19.565217391304348,12.0,26.003192263742125,23,,,,,,
Best_By_Metric,Leicester City,GA90,2.5966666666666667,2.19,1.250613182936008,3,,,,,,
Best_By_Metric,Liverpool,GCA,6.681818181818182,4.0,6.75691084415387,22,,,,,,
Best_By_Metric,Liverpool,GCA90,0.3554545454545454,0.345,0.257084890051206,22,,,,,,
Best_By_Metric,Liverpool,Goals,3.863636363636364,1.0,6.664014624015385,22,,,,,,
Best_By_Metric,Manchester City,Goals_Per90,0.1756,0.12,0.2228990803031721,25,,,,,,
Best_By_Metric,Arsenal,Goals_Per_Shot,0.1514285714285714,0.15,0.1311215357706625,21,,,,,,
Best_By_Metric,Everton,Interceptions,15.636363636363637,11.0,14.261321165490994,22,,,,,,
Best_By_Metric,Liverpool,Key_Passes,23.13636363636364,11.5,23.984708331898343,22,,,,,,
Best_By_Metric,Liverpool,Long_Pass_Pct,61.37727272727273,60.25,17.284948911537427,22,,,,,,
Best_By_Metric,Nott'ham Forest,Matches_Played,26.5,32.5,11.915376220505609,22,,,,,,
Best_By_Metric,Manchester City,Medium_Pass_Pct,89.42400000000002,92.0,7.554815241508776,25,,,,,,
Best_By_Metric,Nott'ham Forest,Minutes,1707.6818181818182,1939.0,1204.8389889016246,22,,,,,,
Best_By_Metric,Nott'ham Forest,Miscontrols,25.545454545454547,19.0,25.817541605378597,22,,,,,,
Best_By_Metric,Nott'ham Forest,Offsides,4.136363636363637,1.5,6.888883070332225,22,,,,,,
Best_By_Metric,Everton,PK_Save_Pct,100.0,100.0,0.0,1,,,,,,
Best_By_Metric,Manchester City,Pass_Completion_Pct,86.47999999999998,87.7,6.679383704105241,25,,,,,,
Best_By_Metric,Manchester City,Passes_Completed,857.88,692.0,650.9309564001392,25,,,,,,
Best_By_Metric,Liverpool,Passes_Into_Final_Third,71.86363636363636,35.5,75.67807473549387,22,,,,,,
Best_By_Metric,Arsenal,Passes_Into_Penalty_Area,19.863636363636363,10.5,19.73224447095342,22,,,,,,
Best_By_Metric,Manchester City,Passes_Received,846.6,630.0,598.7715201421436,25,,,,,,
Best_By_Metric,Manchester City,Progressive_Carries,45.76,39.0,49.58685981857156,25,,,,,,
Best_By_Metric,Manchester City,Progressive_Carries_Distance,2241.48,1782.0,1759.4371287431672,25,,,,,,
Best_By_Metric,Liverpool,Progressive_Passes,87.45454545454545,64.0,73.05883296079314,22,,,,,,
Best_By_Metric,Liverpool,Progressive_Passes_Received,86.81818181818181,49.0,120.71715716762073,22,,,,,,
Best_By_Metric,Liverpool,Progressive_Passing_Distance,4755.181818181818,3129.0,4765.921323375583,22,,,,,,
