Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Harvey Barnes,eng ENG,Newcastle Utd,FW,26,33,17,1755,9,4,0,0,7.2,4.0,93,83,192,0.46,0.21,0.37,0.2,N/a,N/a,N/a,N/a,31.7,1.03,0.14,15.1,474,78.1,1989,86.8,73.0,53.8,26,25,41,9,64,3.27,9,0.46,16,9,11,8,8,2,6,6,810,17,97,257,462,128,64,37.5,51.6,561,2467,48,47,33,23,647,15,22,5,47,55,6,15,28.6,€39.8M,2
Beto,gw GNB,Everton,FW,26,30,15,1534,8,0,2,0,8.2,1.2,15,16,77,0.47,0.0,0.48,0.07,N/a,N/a,N/a,N/a,46.9,1.35,0.16,13.1,156,58.2,282,67.2,53.0,77.8,12,7,8,1,26,1.52,1,0.06,14,6,8,3,12,2,10,4,520,29,51,233,242,86,38,50.0,44.7,267,478,12,9,71,37,378,33,23,16,4,40,99,105,48.5,€0.2M,2
Jarrod Bowen,eng ENG,West Ham,FWMF,27,34,34,2973,13,8,1,0,8.6,6.8,109,91,212,0.39,0.24,0.26,0.21,N/a,N/a,N/a,N/a,41.9,1.09,0.14,17.4,584,71.7,2687,84.0,74.8,57.4,51,41,46,8,113,3.42,15,0.45,41,26,40,21,22,4,18,16,1252,28,132,466,678,171,130,33.8,58.5,741,2501,46,61,70,77,834,20,51,10,106,129,12,48,20.0,€48.4M,2
Dominic Calvert-Lewin,eng ENG,Everton,FW,27,26,19,1609,3,1,2,0,6.7,0.6,23,20,112,0.17,0.06,0.38,0.04,N/a,N/a,N/a,N/a,38.0,1.06,0.06,12.3,181,62.6,498,69.5,58.7,37.5,7,20,5,1,26,1.46,4,0.22,9,7,6,4,7,2,5,7,520,26,45,215,265,88,25,40.0,52.0,280,463,8,17,77,33,417,27,23,27,6,35,85,81,51.2,€17.8M,2
Matheus Cunha,br BRA,Wolves,MFFW,25,33,29,2597,15,6,4,0,8.6,7.7,112,144,161,0.52,0.21,0.3,0.27,N/a,N/a,N/a,N/a,40.0,1.52,0.14,20.5,811,71.6,4384,85.3,76.0,44.2,56,92,58,10,132,4.57,16,0.55,38,22,39,26,21,1,20,17,1561,23,181,695,733,133,137,44.5,44.5,904,3336,95,41,80,55,1056,42,71,8,142,125,13,29,31.0,€61.7M,2
Liam Delap,eng ENG,Ipswich Town,FW,21,37,32,2593,12,2,12,0,9.3,1.9,61,30,110,0.42,0.07,0.32,0.07,N/a,N/a,N/a,N/a,43.9,1.01,0.15,16.0,219,61.3,657,70.7,63.9,37.5,21,17,6,0,62,2.15,7,0.24,11,8,15,13,8,0,8,2,682,29,78,291,335,92,86,46.5,43.0,445,1586,46,30,104,60,537,72,51,14,5,68,55,74,42.6,€33M,2
Amad Diallo,ci CIV,Manchester Utd,MFFW,22,26,20,1901,8,6,5,0,4.7,4.9,109,60,200,0.38,0.28,0.22,0.23,N/a,N/a,N/a,N/a,36.2,0.8,0.17,17.5,795,83.8,2193,91.0,86.0,55.6,49,27,35,7,97,4.59,18,0.85,38,31,32,13,15,2,13,11,1207,16,175,443,607,131,88,46.6,48.9,782,2750,53,66,42,35,854,21,28,9,42,109,10,15,40.0,€49.3M,2
Luis Díaz,co COL,Liverpool,FW,27,36,28,2399,13,5,2,0,12.0,5.0,108,110,293,0.49,0.19,0.45,0.19,N/a,N/a,N/a,N/a,42.3,1.13,0.18,13.4,736,84.2,2533,88.5,86.1,81.1,56,48,46,6,117,4.39,16,0.6,39,26,39,24,19,0,19,7,1184,17,90,409,706,167,116,45.7,44.0,780,2960,55,56,55,49,933,48,31,10,32,105,13,38,25.5,€69.3M,2
Jeremy Doku,be BEL,Manchester City,FWMF,22,29,16,1516,3,6,1,0,1.3,4.8,213,69,286,0.18,0.36,0.08,0.29,N/a,N/a,N/a,N/a,31.0,0.53,0.10,17.7,603,79.1,1506,86.4,81.0,66.7,32,12,48,6,79,4.69,14,0.83,31,22,15,7,11,1,10,4,1027,4,46,233,772,161,201,53.2,29.9,796,4865,95,109,59,59,854,10,33,5,59,63,0,12,0.0,€66.5M,2
Anthony Elanga,se SWE,Nott'ham Forest,FWMF,22,38,31,2501,6,11,1,0,4.5,5.7,102,63,229,0.22,0.4,0.16,0.2,N/a,N/a,N/a,N/a,54.5,0.86,0.14,17.6,540,65.3,2660,82.2,64.7,35.1,50,32,26,8,102,3.67,18,0.65,19,14,17,12,11,1,10,6,1115,29,136,319,679,110,83,30.1,47.0,600,2544,45,48,79,43,764,9,47,18,185,89,24,37,39.3,€45.6M,2
Evanilson,br BRA,Bournemouth,FW,24,31,28,2319,10,1,1,1,12.5,1.9,29,28,99,0.39,0.04,0.48,0.07,N/a,N/a,N/a,N/a,43.1,1.2,0.14,12.8,244,71.3,622,76.2,75.0,68.8,26,14,6,0,61,2.37,8,0.31,16,10,12,4,11,2,9,1,558,23,56,208,299,127,21,33.3,38.1,333,861,18,15,38,24,400,37,53,20,0,67,42,62,40.4,€29.5M,2
Eberechi Eze,eng ENG,Crystal Palace,MFFW,26,34,31,2588,8,8,1,0,10.5,6.2,69,97,153,0.28,0.28,0.36,0.22,N/a,N/a,N/a,N/a,27.0,0.94,0.07,21.5,777,74.2,3540,84.6,81.9,45.8,58,49,39,4,135,4.69,10,0.35,39,22,36,19,27,0,27,11,1414,17,193,661,597,95,138,48.6,44.9,840,2380,48,22,55,45,907,13,51,9,112,146,7,37,15.9,€62.2M,2
Cody Gakpo,nl NED,Liverpool,FW,25,35,23,1935,10,4,5,0,7.1,4.4,59,52,278,0.47,0.19,0.33,0.2,N/a,N/a,N/a,N/a,38.6,1.02,0.18,15.1,480,75.7,1656,86.9,66.2,52.8,38,24,27,8,80,3.72,8,0.37,28,16,25,12,23,3,20,12,888,28,91,258,557,110,61,50.8,34.4,605,2208,34,28,45,24,677,20,31,5,74,77,17,26,39.5,€73.8M,2
Alejandro Garnacho,ar ARG,Manchester Utd,MFFW,20,36,23,2199,6,2,3,0,7.3,4.5,141,56,290,0.25,0.08,0.3,0.19,N/a,N/a,N/a,N/a,34.5,1.19,0.07,17.0,649,78.9,1181,88.4,82.1,59.6,37,22,25,5,83,3.4,6,0.25,30,18,37,25,19,0,19,13,1159,13,130,364,683,176,89,29.2,61.8,840,3245,72,67,64,48,888,12,43,10,56,108,3,24,11.1,€59.2M,2
